Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Kwazulu Natal,North Coast,admin@seedlingspreschool.co.za,,,https://saprivateschools.co.za/listing/seedlings-pre-school/,CAPS,,Kwazulu Natal,Grade RR,Grade R,7:00 am - 3:00 pm,"Seedlings Pre-School is a school for all children, and provides quality and affordable Christian-based education. It possesses a wonderful 16 year heritage, and is a ministry of Harvest Church. We aim to nurture our 'Seedlings' to become kind, loving and responsible individuals. We aim to focus on each child as a precious individual, and to further enrich them in their physical, social, emotional, intellectual and spiritual development in a safe and loving environment. Seedlings currently has 89 children enrolled for the 2020 year so far. If you or anyone you know is looking, please give Seedlings some serious consideration! There are 4 classes: Grade R - Robins Grade 00 - Busy Bees Grade 000 - Dragonflies Grade 000 - Hedgehogs1 Wincanton Way, Somerset Park, Umhlanga, 4319, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:11 am local time","1 Wincanton Way, Somerset Park, Umhlanga, 4319, South Africa, South Africa"
Western Cape,West Coast,debbie.krastin@iesmail.com,,,https://saprivateschools.co.za/listing/blouberg-international-high-school/,CAPS,,Western Cape,Facebook,Twitter,7:00 am - 3:00 pm,"Blouberg International is the only international co-educational school on the West Coast. Currently situated in the suburb of Parklands, we are flanked by the vast Atlantic Ocean with the vivid backdrop of the majestic Table Mountain. In offering the British National Curriculum with international benchmarks from Cambridge University, we ensure a stable curriculum coupled with international standards of excellence. We prepare our students for further education in Colleges and Universities all over the world, but equally important, we prepare our students for life. IES schools are closely linked to the SEK-International Institution, a network of schools and universities in Latin America and Spain. The schools are members of The International Schools Association, offer, where appropriate, qualifications awarded by Cambridge International Examinations and the International Baccalaureate, and locally are members of major school associations such as the Florida Council of Independent Schools, the Southern Association of Colleges and Schools (USA), the Independent Schools Association (UK), the Independent Association of Prep Schools (UK), and the Independent Schools Association of Southern Africa. 74 Ringwood Dr, Parklands, Cape Town, 7441, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:11 am local time","74 Ringwood Dr, Parklands, Cape Town, 7441, South Africa"
Gauteng,Randburg,info@crossroadsschool.co.za,,,https://saprivateschools.co.za/listing/crossroads-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Crossroads School educates bright children who have a learning challenge and have experienced adversity and struggled to keep up with their mainstream pupils or as a young child have benefited from the additional input of occupational, speech or play therapy and further intervention is required. Remedial children require additional support in the academic essentials of achieving the 3 Rs - reading, writing and arithmetic. This is the child who thinks outside the box, the child who learns differently. The remedial child needs help to master certain concepts or to be taught coping strategies to compensate for areas of difficulty. The mastery of concepts or the learning of coping strategies occurs as a result of good quality remedial education; the type Crossroads provides. Crossroads' multi-disciplinary approach means all your child's needs will be addressed within the context of the school. Good quality education looks to find ways to unlock the potential of your child with the ultimate aim of returning your child to a mainstream school, when ready. Progress is checked annually through the use of standardised assessments.106 13th St, Victory Park, Randburg, 2195, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:12 am local time","106 13th St, Victory Park, Randburg, 2195, South Africa"
Gauteng,Johannesburg,info@japari.co.za,,,https://saprivateschools.co.za/listing/japari-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Established in 1966 and set in tranquil park-like surroundings, Japari provides a caring, friendly and personal approach to children who are encouraged and guided to take their rightful place as confident independent members of society. ? See Parktown area on map to see other schools nearby.Lower Park Dr, Parkview, Johannesburg, 2193, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:12 am local time","Lower Park Dr, Parkview, Johannesburg, 2193, South Africa, South Africa"
Gauteng,West Rand,ccsjhb@gmail.com,,,https://saprivateschools.co.za/listing/kardia-house-international-primary-school/,Soccer,Reading club,Robotics,Dance,Dance Studies,7:00 am - 3:00 pm,"Kardia House International is a private Christian school owned by Pastor Freek and Mietsie Kruger. They planted the school in Randfontein in 2010 on the instruction and vision they received from God. They started with 8 children and 4 teachers with so much passion. Without any advertising, they have grown into a school now hosting more than 180 learners and 24 staff members. The Vision is not limited to Randfontein, but also spreads to all areas of our country and beyond our borders. Pastor Freek and Mietsie Kruger have been serving God faithfully for the past 38 years of their lives. They have been involved in full time ministry as well as serving the community and being actively involved in different welfare organisations. God gave them as founders of Cornerstone Christian School a vision. By changing the way children think you can influence the sphere in which their parents operate. By using a new way of doing things in 186 children's lives you create a pattern in 186 households and soon, those changes will fill the atmosphere of operations in a part of a community.63 Raven Rd, Greenhills, Randfontein, 1767, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:12 am local time","63 Raven Rd, Greenhills, Randfontein, 1767, South Africa"
Bedelia,Free State,school@sasw.co.za,,,https://saprivateschools.co.za/listing/st-andrews-high-school-welkom/,CAPS,,Bedelia,Facebook,Twitter,7:00 am - 3:00 pm,"St Andrew's School is a religious school, founded on an Anglican ethos. We are inspired by our faith in God and are a people of hope, imagination, and commitment. St Andrew's School is a place of learning where acceptance and belonging prevails. We value the unique richness of every individual member of the school community. In a dynamic and stimulating environment, we provide an education of body, mind and spirit. We educate for life. We help young people to become happy, confident and competent people of hope and personal integrity, with a deep sense of justice and compassion, and with this a sense of social responsibility to transform the world around them. If you have a specific interest in this school, Corner of Hamlet Road and St Andrew""s Way, Bedelia, Welkom, 9459, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:12 am local time","Corner of Hamlet Road and St Andrew""s Way, Bedelia, Welkom, 9459, South Africa"
Gauteng,Randburg,littlebugs.eduplay@gmail.com,,,https://saprivateschools.co.za/listing/little-bugs-eduplay-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"It is our philosophy that young children learn best through play. It is through play that children learn about themselves, their environment, people and the world around them. Our teachers also understand the powerful influence they can have on children. As a school we therefore ensure that our children feel proud of themselves and their accomplishments. Confident children are able and willing to learn new material. Our curriculum provides for development of the whole child and includes areas such as life skills and sensory integration. Our mission is to provide children with a safe, secure and nurturing environment where parents can feel comfortable knowing that their little ones are getting the best care possible. We acknowledge that each child is unique and has the right to be loved and treated with respect and dignity. We strive to provide the quality care that any child deserves, and any parent would expect.Little Bugs Edu-Play Daycare, Swart Street, Randpark Ridge, Johannesburg, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:12 am local time","Little Bugs Edu-Play Daycare, Swart Street, Randpark Ridge, Johannesburg, South Africa, South Africa"
Bloemfontein,Free State,eduplusprimary@gmail.com,,,https://saprivateschools.co.za/listing/eduplus-independent-primary-school/,Civil Technology,Dramatic Arts,Computer Applications Technology (CAT),Information Technology,English,7:00 am - 3:00 pm,"Eduplus aims to provide stimulating education of a high quality, with a special emphasis on the child's emotional development and well-being. Our vision is that every child should be given the opportunity to learn in an environment where he/she feels safe and accepted. Instruction is offered in both English and Afrikaans , accommodating learners from various language groups and promoting the informal acquisition of an additional language from a young age. The school has a Christian ethos, while welcoming learners from a range of religious and cultural backgrounds.8 Boerneef St, Langenhoven Park, Bloemfontein, 9300, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:12 am local time","8 Boerneef St, Langenhoven Park, Bloemfontein, 9300, South Africa"
Roodepoort,Weltevreden Park,agapeland@iafrica.com,,,https://saprivateschools.co.za/listing/arrows-of-destiny-christian-academy-pre-school/,CAPS,,Roodepoort,Grade RR,Grade R,7:00 am - 3:00 pm,"Arrows of Destiny Christian Academy is a Christian School using the ACE (Accelerated Christian Education) Curriculum. This allows the student to move ahead at his/her own pace as they master the work. This curriculum satisfies the RNCS which satisfies the core curriculum as set out by the Education Department. The curriculum focuses on the individual learner, so age groups may be on different PACES. A system of mastery is in place enabling the learner to cover all work adequately before moving on to new work. Learners are required to complete 80 PACES per year to cover one year's work.7, 7 Katjiepiering Street, Weltevredenpark, Roodepoort, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:12 am local time","7, 7 Katjiepiering Street, Weltevredenpark, Roodepoort, South Africa"
Eastern Cape,Jeffrey's Bay,principal@pharosschool.co.za,,,https://saprivateschools.co.za/listing/pharos-pre-school/,Afrikaans,Dual-Medium,CAPS,Grade RR,Grade R,7:00 am - 3:00 pm,"Pharos wants to be a safe place for children, whatever their needs, hurts or individual challenges are. A Lighthouse stands strong throughout generations. It is not bound to one generation. Pharos will be a multi-generational school - long after all of us are gone, it will fulfill its calling in future generations. A lighthouse can handle the onslaughts of storms. We want to teach and guide children how to stand strong in the times of storm in their lives. The light of lighthouse shines far. Pharos to be a place where the prophetic gift from God will be nurtured and developed in young children. They can hear His voice, and obey. To climb up in a lighthouse asks courage and to overcome fear. Pharos will be a place where we want to teach children to have courage, and overcome fear. Jesus said in the Word: ""I am the Light of the world"" He also said ""You are a light to the world."" When we are in Christ, and Christ is in us, we carry His light into this world. Pharos will be a place where the Light of Christ will shine.PHAROS School, 3 Doringkamp, Kabeljous, Jeffreys Bay, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:12 am local time","PHAROS School, 3 Doringkamp, Kabeljous, Jeffreys Bay, South Africa, South Africa"
