Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
North West,Phokeng,admissions@lebonecollege.co.za,145 661 510,https://www.lebonecollege.co.za/,https://saprivateschools.co.za/listing/lebone-ii-independent-pre-school/,Co-Ed (Mixed),English,CAPS,Grade RR,Grade R,7:00 am - 3:00 pm,"This is an extraordinary school; one that provides both teachers and learners the opportunity to realise their enormous potential. We admit children who demonstrate excellence and, through a holistic education that stresses the importance of both the individual and the community, we develop leaders and agents of change. What makes Lebone II so unique is that it is the creation of the king, and is thus an important part of the Royal Bafokeng Nation. As an independent school of excellence, it has a pivotal role to play in both raising the level of education throughout the nation, and serving the community. We believe that our learners will go out into the world and spread their influence as ambassadors of our great nation. In turn, we hope that what they learn elsewhere, they will eventually bring back to Lebone II and the Royal Bafokeng Nation.Lebone II Independent, Luka Main Road, Phokeng, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","Lebone II Independent, Luka Main Road, Phokeng, South Africa, South Africa"
Chartwell,Gauteng,heather@montessoriecoschools.co.za,118 752 103,https://montessoriecoschools.co.za/,https://saprivateschools.co.za/listing/chartwell-house-montessori-eco-pre-school/,Co-Ed (Mixed),English,IEB,,Sandton,7:00 am - 3:00 pm,"We have 2 Montessori Eco School campuses: Singing Forest Montessori, located in the heart of Fourways, caters for ages 0 - 6. Chartwell House Montessori, located in Fourways (Broadacres / Chartwell AH), caters for children aged 3 - 13, with a Cambridge High School in the planning stages. At our Montessori Eco Schools children climb trees, are exposed to permaculture, robotics, basketball, hip hop, art and crafts, cooking and baking and experience life as beautiful!78 Third Street Chartwell AH, Fourways, Johannesburg, 2055, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","78 Third Street Chartwell AH, Fourways, Johannesburg, 2055, South Africa"
Cape Town,Lansdowne,apply@thevineschool.org.za,+27 (0) 21 696 3220,https://www.thevineschool.org.za/,https://saprivateschools.co.za/listing/the-vine-pre-school/,Ballet,Chess,Christian,Cape Town,,7:00 am - 3:00 pm,"The Vine School offers a classic Ambleside curriculum, applying Charlotte Mason's philosophy of education. In small classes of 16 children, teachers know each child personally. Their natural curiosity is engaged through ""living books"", nature walks and great art & music. Classrooms are peaceful, attractive spaces where children are loved, accepted and supported in a non-competitive atmosphere. Teachers diligently train them to pay attention, take turns, listen to others, speak truthfully and practice self-control - all of which leads to success in learning. As a result, our children love to learn!The Vine School helps develop the minds and hearts of children in an atmosphere of joy where great ideas are pursued, so they can grow into adults prepared for a changeable future filled with work opportunities which haven't even been thought of yet.Christian teachers provide outstanding education, inspiring children to think creatively and love learning, in an atmosphere of joyful discovery, using the Ambleside teaching method.37 Denver Rd, Lansdowne, Cape Town, 7780, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","37 Denver Rd, Lansdowne, Cape Town, 7780, South Africa"
Western Cape,West Coast,info@rallim.org.za,(021)0019999,https://rallim.org.za/,https://saprivateschools.co.za/listing/rallim-primary-school/,Agricultural technology,Dance Studies,Civil Technology,Hospitality Studies,Information Technology,7:00 am - 3:00 pm,"We follow the Reggio Emilia-inspired approach which values the child as strong, capable, resilient and rich with wonder and knowledge. Our flexible learning spaces are filled with natural light and glass with an indoor exploratory learning hub. Technology Hub The Reggio Emilia-inspired approach in the Pre-Prep de-emphasises the utilisation of technology in this phase although our portable bank of iPads is frequently used for the documentation of our children's progress. However, the fundamentals of coding are formally introduced in our Grade 0 learning communities as detailed below. Robotics in the Pre-Preparatory phase is a 'hands on' approach to learning, where students build and design simple mechanisms from their environment whilst 'learning through play' with Lego Simple Machines. Whilst building activities range from spinning tops to racing cars, skills learnt involve an integration of Mathematics, Science and Linguistics. Coding skills are promoted through the use of the Sphero Bolt - a robotic ball that can be programmed to manoeuvre through specific paths, whilst displaying colour and sound effects.Rallim Preparatory | Cape Town, Deerhurst Drive, Sunningdale, Cape Town, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","Rallim Preparatory | Cape Town, Deerhurst Drive, Sunningdale, Cape Town, South Africa, South Africa"
Gauteng,Krugersdorp,admissions@almainternational.co.za,+27 11 660 7567,https://almamaterprimaryschool.co.za/,https://saprivateschools.co.za/listing/alma-mater-international-pre-school/,Co-Ed (Mixed),English,Cambridge,,West Rand,7:00 am - 3:00 pm,"At Alma Mater International School we provide a safe, friendly and disciplined learning environment in which we build social and academic skills in self-confident students.
-Baby Mates 2 Months to 2 Years: Our purpose built structured playful
environment and dedicated assistance team ensure that your little angles
received tender loving care in a safe and stimulating environment. Our
teacher focuses on learning through constructive play to stimulate and
help develop key areas of your baby
-PRE-PRIMARY Grade 0000 to Grade R classes Ages 3 to 6 year old: We offer
a structured academic programme to prepare our toddlers for the exciting
challenges of the Cambridge Curriculum. At this age we still focus on a
playful approach to instill lifelong love for learning.1 Coronation St, Paardeplaats 177 IQ, Krugersdorp, 1739, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","1 Coronation St, Paardeplaats 177 IQ, Krugersdorp, 1739, South Africa"
Western Cape,Cape Town,marketing@cannonscreek.co.za,215 310 912,https://cannonscreek.co.za/,https://saprivateschools.co.za/listing/cannons-creek-independent-pre-school/,Co-Ed (Mixed),English,CAPS,,Pinelands,7:00 am - 3:00 pm,"Cannons Creek is a safe, community school with a Christian ethos, staffed by passionate professionals who endeavour to educate confident, trustworthy individuals who are encouraged to achieve their full potential. In 1997, a group of like-minded individuals got together with one common goal, to establish a school with small classes and to achieve the highest scholastic standards. Teachers were appointed who would rival their peers in the dynamic field of education. Through the staff's determination and hard work, supported by the parents and School trustees, the School has provided a platform for learners to be prepared for a combination of an excellent all-round education and life skills. Having celebrated Cannons Creek's 21st Anniversary in February 2018, the School is proud to have achieved these goals. ? Your child's education is the most important decision on which his or her future success will be built.2 Nursery Way, Pinelands, Cape Town, 7405, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","2 Nursery Way, Pinelands, Cape Town, 7405, South Africa"
Gauteng,Roodepoort,admissions.sa@novapioneer.com,766 628 616,https://www.novapioneer.com/sa/ruimsig-primary/,https://saprivateschools.co.za/listing/nova-pioneer-ruimsig-pre-school/,Co-Ed (Mixed),English,Cambridge,,Ruimsig,,"Our Ruimsig Primary campus caters to families seeking Pre-primary and Primary grades. The campus is actively enrolling Grade 000 to Grade 5 to join in the year. A Grade 6 class will be added in 2024. Nova Pioneer is a private school offering an internationally accredited curriculum and delivers it through an inquiry-based learning model. At Nova Pioneer, we focus on ensuring that our students are learning to think and behave like innovators and leaders. Our lessons are designed to promote confidence and communication, and all students work on solving real-world problems from ideation, through prototyping, eventually building their solutions and deploying them on the campus and beyond. Nova Pioneer West Secondary is now accepting Grade 9 applications for 2024 and will be incubated at our current North Riding campus, thereafter moving to our Ruimsig campus.66 Flora Haase Road, Amorosa Ext 27, Ruimsig, Roodepoort, 1732MondayN/ATuesdayN/AWednesdayN/AThursdayN/AFridayN/ASaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","66 Flora Haase Road, Amorosa Ext 27, Ruimsig, Roodepoort, 1732"
Gauteng,Centurion,info@theway.co.za,,,https://saprivateschools.co.za/listing/the-way-christian-primary-school/,Computer Applications Technology (CAT),Engineering Graphics and Design,English,Mathematics,Music,7:00 am - 3:00 pm,"At THE WAY Christian School we encourage learners to dream big dreams, to be confident so that they can become all that God has created them to be. Our goal is to develop the whole individual and provide opportunities for students to grow and expand their horizons - in a caring atmosphere where staff guide and develop students' academics and character. THE WAY Christian School is an independent non-profit Christian school, organized into four divisions (foundation, intermediate, senior and college phases) committed to holistic education and striving to develop to the fullest potential each of our learners, thus enabling them to achieve success in the interconnected world of the 21st century. We offer the Curriculum Assessment Policy Statements (CAPS) syllabus. For school fees and other admissions information, please contact us below by emailing or completing the form at the bottom of this page:229 Erasmus Ave, Raslouw, Centurion, 0157, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","229 Erasmus Ave, Raslouw, Centurion, 0157, South Africa"
Gauteng,Randburg,info@futurenationschools.com,011 085 5750 / 011 674 0269 / 068 136 7123,https://futurenationschools.com/fleurhof-campus/,https://saprivateschools.co.za/listing/future-nation-schools-fleurhof-primary-school/,Basketball,Chess,Cricket,Choir,Coding,,"Our Curriculum
CAPS + Project based Learning (PBL) + IEB = FUTURE-PROOF
Pre-School:
The world of the child is full of sights and sounds which at first appear chaotic. From this chaos, the child must gradually create order; they slowly gain mastery of themselves and of their environment. Dr Montessori developed the “prepared environment” which possess a certain order and disposes the child to develop his capabilities at their own speed, according to his own capacities in a non-competitive atmosphere.Our safe and effective environment helps your child develop their physical, emotional, intellectual and spiritual capacities to the fullest. To achieve this, they must have freedom.In brief, the Montessori approach is designed to help the child build within themselves the foundations for a lifetime of creative learning and expression.Our staff have Montessori and/or ECD qualifications and are registered with the South African Council for Educators (SACE).Primary - High School:
We teach the national CAPS curriculum that is integrated with Project-Based Learning from primary school level. We implement Project-Based Learning (PBL) from primary school right through to Grade 12.In Project Based Learning, the project is the vehicle for teaching the important knowledge and skills that a student needs to learn. The project contains and frames the curriculum and instruction.PBL requires critical thinking, problem-solving, collaboration, and various forms of communication. To answer a Driving Question and create high-quality work, students need to do much more than remember information. They need to use higher-order thinking skills and learn to work as a team.To help ensure our students are getting the main course and are engaging in quality Project Based Learning, We promote a research-based model for the students to learn how to question, investigate and/or design and respond to an authentic, engaging and complex question, problem and/or challenge.Our students write the Independent Examination Board (IEB) examinations in Grade 12. The IEB seeks to advance quality teaching and learning in South Africa through an assessment process of integrity, innovation and international comparability. All schools registered with the IEB to write the National Senior Certificate have access to a range of professional development opportunities as well as a variety of assessments, designed to serve a range of purposes.The IEB produces consistent, reliable results in the Grade 12 National Senior Certificate with an average pass rate between 97% and 98%. Furthermore, the IEB achieves between 78% and 80% pass with entry to degree study. Our first two cohorts of Matrics have achieved a 100% pass rate in the 2021 and 2022 IEB Matric Exams.Someday All Schools Will Teach This Way!For more and to see a virtual tour of our campus, visit https://futurenationschools.com/fleurhof-campus/Halite Road, Hyacinth Rd, Fleurhof, Randburg, 1709, South AfricaMonday7:00 am - 5:00 pmTuesdayN/AWednesdayN/AThursdayN/AFridayN/ASaturdayClosedSundayClosed
							November 8, 2024 9:59 am local time","Halite Road, Hyacinth Rd, Fleurhof, Randburg, 1709, South Africa"
panorama,,office@riversidecollege.co.za,218022001,https://www.riversidecollege.co.za,https://saprivateschools.co.za/listing/riverside-college/,Ball Skills,Ballet,Chess,Maths Club,Art & Craft Club,7:00 am - 3:00 pm,"Riverside College is an awarded Top 5 Private School situated in the Northern Suburbs of Cape Town and offers the following:Riverside College and Independent School Cape Town, Cellars Street, Burgundy Estate, Cape Town, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:00 am local time","Riverside College and Independent School Cape Town, Cellars Street, Burgundy Estate, Cape Town, South Africa, South Africa"
