Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Arcadia,Gauteng,lsteinbrucker@aisj-jhb.com,,,https://saprivateschools.co.za/listing/american-international-pre-school-johannesburg/,CAPS,,Arcadia,Grade RR,Grade R,7:00 am - 3:00 pm,"As South Africa continues to attract foreign companies and diplomatic missions, AISJ's growth will be directly connected with South Africa's renaissance. Our diverse student population today stands at approximately 107 nationalities school-wide and AISJ provides an atmosphere in which students can maximize the academic potential in a safe and encouraging environment. To maintain the school's strong tradition of providing an excellent balanced program, while attracting new students, AISJ will have to continue growing, and the school's Facilities Master Plans foresees a Johannesburg campus that can accommodate 1050 students, and a Pretoria Campus that can accommodate 300 students. In short, the school is well positioned to accommodate projected growth. For school fees and other admissions information, please contact us below by emailing or completing the form at the bottom of this page:Scorpion Trail St, Knopjeslaagte, Midrand, 1682, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:38 am local time","Scorpion Trail St, Knopjeslaagte, Midrand, 1682, South Africa"
Kwazulu Natal,Durban,edendurban@gmail.com,,,https://saprivateschools.co.za/listing/eden-pre-school/,CAPS,,Kwazulu Natal,Facebook,Twitter,7:00 am - 3:00 pm,"Eden College gives you a place to be YOU! Eden Durban is a small, caring, co-educational independent school that builds on a firmly established reputation of excellence spanning over 40 years. This leading secular school provides a unique and vibrant educational experience for students from grade 000 to grade 12. It offers a holistic curriculum that includes a wide range of set and optional subjects, sport and cultural pursuits.Dan Pienaar Rd & Wanless Road, Glenwood, Durban, 4001, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","Dan Pienaar Rd & Wanless Road, Glenwood, Durban, 4001, South Africa"
Western Cape,George,administrator@vineschool.co.za,+27 (0)21 696 3220,https://www.thevineschool.org.za/,https://saprivateschools.co.za/listing/vine-christian-high-school/,Co-Ed (Mixed),English,CAPS,George,Facebook,7:00 am - 3:00 pm,"The Christian ethos and grace-based culture makes for a happy, peaceful atmosphere In small classes of no more than 16 pupils we give personal attention to every child We provide a safe environment with a focus on healthy relations and character development Ambleside Schools International membership secures an outstanding curriculum and a global network of accountability and support. Our unique teaching methods nurture curiosity and a life-long love of learning Our teachers love the children and are passionate about teaching and learning ?143 Mitchell St, Bodorp, George, 6529, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","143 Mitchell St, Bodorp, George, 6529, South Africa"
Kwazulu Natal,Durban,info@wonderkids.co.za,,,https://saprivateschools.co.za/listing/wonderkids-montessori-pre-school/,IEB,,Kwazulu Natal,Grade RR,Grade R,7:00 am - 3:00 pm,"The Wonderkids Montessori Preschool & Training Centre is situated in Durban, South Africa with branches in Johannesburg and Pietermaritzburg. ? Mission Statement To strive to nurture our children and help them to develop holistically to the best of their ability. To provide a stimulating and rich environment conducive to the Montessori philosophy of education where the children are cared for with love and respect ?44 Raftery Cres, Sparks, Berea, 4091, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","44 Raftery Cres, Sparks, Berea, 4091, South Africa"
Gauteng,Randburg,office@flemingpreprimary.co.za,,,https://saprivateschools.co.za/listing/fleming-pre-primary-centre/,CAPS,,Gauteng,Facebook,Twitter,7:00 am - 3:00 pm,"Fleming Pre-primary is a co-educational pre-school catering for pupils aged 3 to 6 years. The five classrooms are well equipped and have access to the lovely garden. The grassed playgrounds provide many opportunities for large muscle development, sand play, water trough activities and games. The school has a solar heated swimming pool for summer classes. A small computer room provides tuition for 8 pupils at a time. See Randburg area on map to see other schools nearby.5 Abercorn Ave S, Craighall Park, Randburg, 2196, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","5 Abercorn Ave S, Craighall Park, Randburg, 2196, South Africa"
Atlantic Seaboard,Western Cape,admission.houtbay@iesmail.com,,,https://saprivateschools.co.za/listing/hout-bay-international-high-school/,CAPS,,Atlantic Seaboard,Facebook,Twitter,7:00 am - 3:00 pm,"Hout Bay International School is more than a school - it is a community of diverse individuals and families, a centre for academic excellence, for some a home away from home and yet more importantly a family for all those that are part of it. Few schools can boast that they belong to two international organisations spanning across almost every continent of the globe. The first being the International Education Systems (IES), a family of international schools committed to quality educational experiences for all who attend and, second, the International Baccalaureate Organisation (IBO), renowned for its high quality and rigorous academic programme. 61 Main Rd, Hout Bay, Cape Town, 7806, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","61 Main Rd, Hout Bay, Cape Town, 7806, South Africa, South Africa"
North West,Mahikeng,admin@issa.co.za,,,https://saprivateschools.co.za/listing/international-high-school-of-south-africa/,CAPS,,North West,Facebook,Twitter,7:00 am - 3:00 pm,"The International School of South Africa is an independent junior and senior boarding school situated on a superbly landscaped estate of 54 hectares on the outskirts of Mafikeng. It is owned and administered by a board of governors and it is a member of the Independent Schools Association of South Africa (ISASA) as well as the European Council of International Schools (ECIS). The School is co-educational, and ranges from primary to post-matriculation (A-level).The Primary (360 students) and Senior (450 pupils) schools are integrated on the same site. In both schools, small classes enable teachers to give students personal and detailed attention. With students from 18 different countries, the school provides an excellent opportunity for exchanging ideas, sharing cultures and developing international relations. Our students are drawn from South Africa itself, other African countries, the United Kingdom, Europe, the Indian sub-continent and the Far East. William Dick Avenue & Nelson Mandela Dr, Mafikeng Industrial, Mahikeng, 2745, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","William Dick Avenue & Nelson Mandela Dr, Mafikeng Industrial, Mahikeng, 2745, South Africa, South Africa"
Eastern Cape,Elliot,stonehouseschool@gmail.com,,,https://saprivateschools.co.za/listing/stone-house-pre-school/,CAPS,,Eastern Cape,Facebook,Twitter,7:00 am - 3:00 pm,"The name was inspired by the structure that will house the school. This building is an old stone house/hotel on the farm Navar just outside Elliot in the Eastern Cape.? The imagery in the logo simply includes a silhouette of happy children, the stone pillars not only represent the building but the building blocks and foundation of the most crucial years of a child's education. The butterfly is representative of the source from where the motto came. Nevar Farm, Elliot, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","Nevar Farm, Elliot, South Africa"
Alberton,Gauteng,optim-ed@vodamail.co.za,,,https://saprivateschools.co.za/listing/optim-ed-learning-centre-pre-school/,IEB,,Alberton,Grade RR,Grade R,7:00 am - 3:00 pm,"Optim-Ed Learning Centre is an independent special needs school located in Alberton Johannesburg. We cater for learners aged between 3 years to 18 years of age that have special educational or physical needs. Optim-Ed Learning Centre is registered with the Department of Education as a special needs school. The school was founded in 2009 by Morgen Erasmus and Dr Tracey Naude and is founded on Christian principles. Our aim is to allow each individual the opportunity to reach his/her fullest potential and be an active member of society. Our motto is ""A Window of Opportunity"". We believe that working holistically we give learners the opportunity to reach their potential. ? Mission and Vision Statement To provide all learners with a nurturing, structured and stimulating learning environment in which each child can develop his/her unique personality and positive self-concept through education, support, play and love. Emotional and social skills to become functional citizens in society where they may make a contribution in a sheltered working environment.Optim - Ed Learning Centre, Bamboo St, Brackendowns, Alberton, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","Optim - Ed Learning Centre, Bamboo St, Brackendowns, Alberton, South Africa, South Africa"
Kwazulu Natal,Pinetown,marketing@hps.co.za,,,https://saprivateschools.co.za/listing/highbury-preparatory-pre-school/,CAPS,,Kwazulu Natal,Grade RR,Grade R,7:00 am - 3:00 pm,"Highbury is an independent school for boys from Grade R to Grade 7, and is situated in the picturesque suburb of Hillcrest on 11ha of park-like grounds. Founded in 1903, the school has a proud tradition of quality education encompassing academics, culture and sport. Highbury caters for more than 550 boys in a vibrant and stimulating learning environment. Dedicated and caring staff, along with superb facilities ensure that every boy is given the opportunity to achieve his personal best. Highbury has a co-educational pre-primary unit, the Weavers' Nest, which caters for Grade 0000 and Grade 00. These 80 children are under the care of six fully qualified pre-primary staff, two teacher assistants and a teaching intern per class. ? See Hillcrest area on map to see other schools nearby.cnr Mcmillan and, Highbury Rd, Hillcrest, 3650, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:39 am local time","cnr Mcmillan and, Highbury Rd, Hillcrest, 3650, South Africa"
