Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Amanzimtoti,Kwazulu Natal,igp.primaryschool@gmail.com,,,https://saprivateschools.co.za/listing/illovo-glen-private-primary-pre-school/,CAPS,,Amanzimtoti,Grade RR,Grade R,7:00 am - 3:00 pm,"Who We Are Illovo Glen Private Primary School is a private Christian school for the community to help uplift education and give children an opportunity to grow and develop holistically. We offer a Christian Based Ethos where family and community values are of vital importance. Children are developed academically, emotionally, spiritually and physically. Our children are encouraged to learn at their best and we teach toward learning for understanding. It is vital that children have critical thinking and problem solving skills and can apply these in life. The staff at Illovo Glen Private Primary School aim to create an environment where children can be themselves, feel secure, are nurtured and are taught to be responsible, caring and self-motivated individuals. At Illovo Glen Private Primary School, we have 6 core values that guide us in every aspect of school life. See Amanzimtoti area on map to see other schools nearby.23 San Gabriel Ave, Illovo Glen, Kingsburgh, 4126, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","23 San Gabriel Ave, Illovo Glen, Kingsburgh, 4126, South Africa, South Africa"
Gauteng,Randburg,admin@randburgmontessori.co.za,https://redwoodschools.co.za/lalucia/,,https://saprivateschools.co.za/listing/randburg-montessori-pre-school/,English,CAPS,,Ferndale,Grade RR,7:00 am - 3:00 pm,"Welcome to the Randburg Montessori community of exploring, discovering, learning and teaching. Randburg Montessori's goal is to give its children an education that will prepare them to succeed both in primary school and in life, in a rapidly changing world. Randburg Montessori emphasises hands-on discovery-based learning. Although the programme promises to strive for an exceptional standard of excellence, children are encouraged to develop themselves holistically. It is with this in mind that Randburg Montessori strives to employ the best teachers to suit the specific needs of the children. Here, we share a commitment to a close partnership between home and school, and our innovative educational programme leads children to develop extraordinary levels of personal responsibility, independence, and self-confidence. Looking back to our beginnings, in January 2002, 5 children with eager and supportive parents became the first class of Randburg Montessori. During that first year enrolments steadily grew until our first class, now with 12 children, had outgrown the venue.Randburg Montessori, Harley Street, Ferndale, Randburg, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","Randburg Montessori, Harley Street, Ferndale, Randburg, South Africa, South Africa"
Western Cape,Northern Suburbs,gwp.pp@webafrica.org.za,,,https://saprivateschools.co.za/listing/goodwoodpark-pre-primary-primary-school/,Agricultural technology,Dance Studies,Civil Technology,Hospitality Studies,Mechanical Technology,7:00 am - 3:00 pm,"At Goodwoodpark Pre-primary we offer excellent education within a caring Christian environment. Qualified Pre-primary educators with full time assistants Outcomes Based Educational Programme Daily programme in both English & Afrikaans Secured playground with safe stimulating apparatus Onsite services of Speech and Occupational Therapists Extra-curricular activities: Playball, Gymnastics, Ballet, Dance & Movement, Computers, Pottery Our curriculum stimulates the intellectual, social, emotional, spiritual and physical growth of learners, inspiring them to reach their full potential.Beaufort Straat, Goodwood, Cape Town, 7460, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","Beaufort Straat, Goodwood, Cape Town, 7460, South Africa"
Gauteng,Pretoria East,info@sianndaycare.co.za,,,https://saprivateschools.co.za/listing/siann-daycare-and-pre-primary/,IEB,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Welcome to Siann Daycare and Pre-primary. We are looking forward to a wonderful learning and growing experience with your child and a great partnership with your family. Our goal is for every child in our care to have a fun day where they are learning and playing while making new friends. We want your child to feel like this is their second home. They must feel comfortable and safe.141 Margaritha St, Meyerspark, Pretoria, 0103, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","141 Margaritha St, Meyerspark, Pretoria, 0103, South Africa"
Western Cape,Winelands,johan@tooterbekkies.co.za,,,https://saprivateschools.co.za/listing/tooterbekkies-pre-pre-school/,CAPS,,Western Cape,Grade RR,Grade R,7:00 am - 3:00 pm,"Tooterbekkies Pre-School we will take care of your children from 4mds to 5 years.Eng/Afr. All meals included lots of love from our teachers come visit !!! We are registered with the Department of Welfare as well as the Department of Labour, Reg nr: C: 14625 We hold a â€œCertificate of Acceptabilityâ€ from the Cape Wine lands District Municipality, CW-COA-2009-406; We have a full time chef and our kitchen have been certified for the preparation of meals; Menus' are displayed daily; Staff members hold ECD Level 4 &5 NQF 6 Certificates; plus First Aid All activities are displayed; Swimming lessons offered during summer months (Additional); Swimming pool (fully supervised when in use eg. swimming lessons); Ball games offered / played by staff; Air conditioners on premises; Proper sleeping mattresses for children; Outings for 3 to 5 years old during the year â€“ year program will be submitted to parents;CAPS Offered Our year end function includes our children taking part in our Christmas concert as well as our Capping ceremony and a visit by Father Christmas.3 Pannorama Street, Denneburg, 7646 Paarl, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","3 Pannorama Street, Denneburg, 7646 Paarl, South Africa"
Eastern Cape,Lady Grey,admin@lgaa.co.za,,,https://saprivateschools.co.za/listing/lady-grey-arts-academy-primary-school/,Computer Applications Technology (CAT),Engineering Graphics and Design,Electrical Technology,Life Sciences,Mathematical Literacy,7:00 am - 3:00 pm,"The Lady Grey Arts Academy is a specialised school where young people are developed in the arts. Founded in 1996, the Academy's boundaries soon expanded to welcome pupils from all backgrounds and cultures - the Academy is indeed a true reflection of the South African ""Rainbow Nation"". Offering specialised education to pupils from the more remote parts of the rural areas of South Africa, students are prepared for various careers in the arts, ranging from visual arts and design to the performing arts and their associated technological fields. The Academy's horizons in all educational aspects are ever expanding to meet the needs of the young people of today, focusing especially on the development of their artistic talents and skills.Lady Grey Arts Academy, Brummer Street, Lady Grey, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","Lady Grey Arts Academy, Brummer Street, Lady Grey, South Africa, South Africa"
Gauteng,Pretoria East,admin@corncol.co.za,,,https://saprivateschools.co.za/listing/cornerstone-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Cornerstone College is an independent High School (Grades R-12) and Hostel, based in Silverton, Pretoria, South Africa. Cornerstone College has created a secure and disciplined Christian environment in which the best possible education is provided, at the lowest possible cost. The school's other major goal is to invest in the future of South Africa, by developing our young people and by giving them a strong educational foundation. Size of school: 1200 students in total, of whom 200 students are also in the hostel. The base of the logo represents the foundation or cornerstone that is provided for the students' development, as well as a tick for academic excellence. The leaf growing out of the foundation represents new life and growth. It can also represent the shield of God's protection. Our ethos is based on Philippians 4:8 and 9, "" Finally, brothers, whatever is true, whatever is noble, whatever is right, whatever is pure, whatever is lovely, whatever is admirable - if anything is excellent or praiseworthy - think about such things. Whatever you have learned or received or heard from me, or seen in me - put it into practice."" email an enquiry530 Moreleta St, Silverton, Pretoria, 0184, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","530 Moreleta St, Silverton, Pretoria, 0184, South Africa"
Amanzimtoti,Kwazulu Natal,admin@prescientprimary.co.za,,,https://saprivateschools.co.za/listing/prescient-primary-pre-school/,CAPS,,Amanzimtoti,Grade RR,Grade R,7:00 am - 3:00 pm,"Prescient Primary is a private Christian school that offers an international, CAPS-aligned curriculum that educates learners academically, emotionally, and physically. We were formerly known as Cedar Hill Primary but have changed our brand since 2021. ? See Amanzimtoti area on map to see other schools nearby.Prescient Primary School, Bhengu Road, Amanzimtoti, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","Prescient Primary School, Bhengu Road, Amanzimtoti, South Africa, South Africa"
Free State,Harrismith,office@harriston.co.za,,,https://saprivateschools.co.za/listing/harriston-primary-school/,Accounting,Music,African Languages,Tourism,Economics,7:00 am - 3:00 pm,"Harriston is an English-medium, independent school in Harrismith in the beautiful eastern Free State of South Africa. The school comprises three parts, the Pre-Primary (ages 1 to 5), the Primary (ages 6 to 12) and the High school (ages 13 to 18). We are an independent, Christian-based school, with an emphasis on quality school education. Our classes are relatively small, averaging 17. We offer weekly boarding for high school pupils who live further away, and we have an active sports programme for all pupils. We also offer a wide range of other extra-mural and off-campus activities, especially being able to make use of a range of venues in the magestic Drakensberg and Maluti mountains nearby.45 Mauritz St, Harrismith, 9880, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","45 Mauritz St, Harrismith, 9880, South Africa"
Kwazulu Natal,Pinetown,futurestarspp@gmail.com,,,https://saprivateschools.co.za/listing/future-stars-pre-primary-pinetown/,CAPS,,Kwazulu Natal,Facebook,Twitter,7:00 am - 3:00 pm,"We take children from 4 months to 6 years up to grade R. We also offer aftercare and transport. We have holiday club for outside children.29 Scott Rd, Pinetown, Durban, 3610, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:33 am local time","29 Scott Rd, Pinetown, Durban, 3610, South Africa"
