Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Dainfern,Gauteng,Chune@zanet.co.za,,,https://saprivateschools.co.za/listing/chrysalis-academy-dainfern-primary-school/,Visual Arts,Geography,Agricultural Management Practices,Dance Studies,Civil Technology,7:00 am - 3:00 pm,"Our school is situated on 3 ha in the country near Dainfern, off Cedar Road - Broadacres is 3 min away. HeronBridge is just down the road from us too. We cater for children who have learning difficulties and/or learn differently and need a small environment in which to flourish. We accept high functioning children on the autistic spectrum. We are the only school in SA able to offer the Scientific Learning neuroscience programmes to all children - not limited to our school's learners as it is computer based and can be done anywhere. We offer intensive remedial teaching, accommodate homeschoolers, help with auditory processing problems & offer a number of therapies. We have our own therapists and educational psychologist as well as teachers with many and varied areas of expertise. We offer Art, Drama, Ballet, Music - key board and guitar as well as voice, soccer, swimming, horse riding etc. ?1 Runnymead Ave, Chartwell, 2191, South Africa1 Runnymead Ave, Chartwell, 2191, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","1 Runnymead Ave, Chartwell, 2191, South Africa"
Gauteng,Sandton,admin@cedarwoodschool.co.za,,,https://saprivateschools.co.za/listing/cedarwood-primary-school/,IEB,,Gauteng,Facebook,Twitter,7:00 am - 3:00 pm,"Cedarwood School is an inclusive, remedial Preparatory School (Grade R - Grade 6) and College (Grade 7 - 12) in the congenial country setting of Glenferness - north of Lonehill - for children who have mild to moderate support needs which prevent them from coping adequately in a mainstream school environment. Cedarwood School is equipped to provide a supportive, non-competitive environment where pupils can regain lost confidence and work to the best of their abilities and potential. Classes are small, allowing the necessary time for individual attention and monitoring by the educators so that children advance steadily, build self-esteem and start to believe in themselves and their abilities. A full range of therapists ensures that all areas of development are supported and barriers of learning removed.113-117 Dunmaglass Rd, Glenferness AH, Kyalami, 2068, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","113-117 Dunmaglass Rd, Glenferness AH, Kyalami, 2068, South Africa"
Western Cape,Northern Suburbs,durbanville@montessoriathome.co.za,,,https://saprivateschools.co.za/listing/montesorri-home-durbanville-pre-school/,CAPS,,Western Cape,Grade RR,Grade R,7:00 am - 3:00 pm,"This school's description is currently being updated and will appear within the near future.7 Pioneer Road, Sonstraal Heights, Cape Town, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","7 Pioneer Road, Sonstraal Heights, Cape Town, South Africa, South Africa"
Gauteng,West Rand,admin@vineyardschool.co.za,,,https://saprivateschools.co.za/listing/the-kings-primary-school-vineyard/,Accounting,Music,African Languages,Tourism,Economics,7:00 am - 3:00 pm,"Vineyard Christian School was established in 1990 as an extension to Little Kings Nursery School. Little Kings Nursery School became Little Vineyard Nursery School and is now known as Vineyard pre-primary. Our primary school opened its doors in January 2005 with one grade R and one grade 1 class. We completed our senior primary in 2012 with the addition of a grade 7 class. We accept children from 3 months to grade 7. The school is based in Muldersdrift, 5 minutes from Cradlestone Mall. Our teachers are deeply committed Christian educators who provide a nurturing environment. Our small classes (maximum of 23 children per class) ensure that your child receives individual one on one attention. Honingklip, Muldersdrift, 1747, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","Honingklip, Muldersdrift, 1747, South Africa"
Gauteng,Jhb East,kingsschool@kslp.org.za,,,https://saprivateschools.co.za/listing/the-kings-primary-school-linbro-park/,Visual Arts,Geography,Agricultural Management Practices,Dance Studies,Civil Technology,7:00 am - 3:00 pm,"The vision of The King's School Linbro Park speaks of providing a Christ-centred learning environment. This spiritual focus permeates all that we do both inside and outside of the classroom.? First and foremost, we seek to embrace and model Biblical values. ? School Fees Baby & Toddler Centre - R2000 Pre-school - R2200-R3600 Primary School - R5000-R5500 High School - R5600-R5850 ? 133 1st Rd, Linbro Park AH, Sandton, 2065, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","133 1st Rd, Linbro Park AH, Sandton, 2065, South Africa"
North West,Rustenburg,admin@rec.co.za,,,https://saprivateschools.co.za/listing/rustenburg-educational-primary-school/,Civil Technology,Dramatic Arts,Computer Applications Technology (CAT),Information Technology,English,7:00 am - 3:00 pm,"Vision Lead the way to greater knowledge through professional education on a high standard. We strive to produce responsible and balanced citizens who can cope in the adult world. Mission Educating learners in a classroom environment of only twenty five (25) learners per class. Providing relevant, meaningful and challenging education and staying ahead of education development. Values To instil through example a high standard of ethics and integrity. We value the richness of our cultural diversity. See Rustenburg area on map to see other schools nearby. Rustenburg Educational College (REC) Private High School and Boarding in North West, Machol Street, Olifantsnek / Ntsedimane, Rustenburg, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","Rustenburg Educational College (REC) Private High School and Boarding in North West, Machol Street, Olifantsnek / Ntsedimane, Rustenburg, South Africa, South Africa"
Western Cape,Cape Town,admissions@sggs.co.za,,,https://saprivateschools.co.za/listing/st-georges-grammar-high-school/,CAPS,,Western Cape,Instagram,YouTube,7:00 am - 3:00 pm,"Why St George?s We are an Anglican Mainstream co-educational school for pupils from Grade Pre-R (pre-primary) to Grade 12 in Mowbray, Cape Town. The whole school is situated on one campus with separate buildings for the High and Preparatory School but with specific shared facilities such as school halls, a library and sports fields. The school fully subscribes to the National Policy on Inclusive Education and has an inclusive, anti-bias approach in all spheres of school life. We believe in creating a safe and happy space for our pupils while enabling a strong foundation for learning. Our computer labs and library are spaces that allow for our pupils to learn beyond the confines of a classroom. Our classes are small, we have an excellent academic programme and an extra-curricular programme that includes space for community-mindedness, spiritual growth, ecological awareness and appreciation of the arts.Richmond Rd, Mowbray, Cape Town, 7705, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","Richmond Rd, Mowbray, Cape Town, 7705, South Africa"
Gauteng,East Rand,info@shanan.co.za,,,https://saprivateschools.co.za/listing/shanan-christian-primary-school/,Religion Studies,Business Studies,Tourism,History,Agricultural Sciences,7:00 am - 3:00 pm,"What SHANAN Christian School Has To Offer You! A Christian School which started in 1989. A school that follows the Revised National Curriculum Statement (RNCS) and uses the Accelerated Christian Education methodology as the Learner Teacher Support Material (LTSM). With this, the learner is able to progress at his/her own pace. Grade R to Grade 12. ? See Benoni area on map to see other schools nearby. Shanan Christian School, Capricorn Street, Farrarmere, Benoni, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","Shanan Christian School, Capricorn Street, Farrarmere, Benoni, South Africa, South Africa"
Gauteng,Jhb South,admin@vaaltriangleprimary.co.za,,,https://saprivateschools.co.za/listing/vaal-triangle-primary-primary-school/,Agricultural technology,Dance Studies,Civil Technology,Hospitality Studies,Mechanical Technology,7:00 am - 3:00 pm,"We are an Independent (Private) School situated in Vanderbijlpark, Gauteng. We offer quality education in small optimum size classes. Education is offered from Pre-Primary through to Grade 7. Our vision is to encourage and develop our children holistically in order to realise their full potential and become well-rounded individuals. ? ? See Vanderbijlpark area on map to see other schools nearby.Joseph Addison Street, 1911 Vanderbijlpark, south africa , South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","Joseph Addison Street, 1911 Vanderbijlpark, south africa , South Africa"
Gauteng,Midrand,natalie@flutterbys.co.za,,,https://saprivateschools.co.za/listing/flutterbys-special-education-therapy-centre-high-school/,CAPS,,Gauteng,Instagram,YouTube,7:00 am - 3:00 pm,"Flutterbys Special Education and Therapy Centre is a Special Needs Schools located in Midrand in Gauteng South Africa. 13 Hofmeyer Rd, President Park AH, Midrand, 1685, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:32 am local time","13 Hofmeyer Rd, President Park AH, Midrand, 1685, South Africa"
