Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Limpopo,Polokwane,jabezca@gmail.com,,,https://saprivateschools.co.za/listing/jabez-christian-academy-primary-school/,Visual Arts,Geography,Agricultural Management Practices,Dance Studies,Civil Technology,7:00 am - 3:00 pm,"Our vision is to equip learners to develop Godly character while ensuring academic excellence. Our mission is to raise well-balanced, disciplined Christians through academics, sports and culture. WE OFFER: An international Christ-centered environment National Core Curriculum (Grade RR - 12) Only 25 learners per class Caring teachers Academic excellence: Entrance tests have to be written and passed Independent Examination Board (IEB) Matric Examinations: 100% pass since inception Sport: Netball, Soccer, Volleyball, Athletics, Cross-country Cultural: Drama, Chess, Choir, Cooking Spiritual: Outreaches, Bible period each day, integrated Christianity in each subject Music, Ballroom, Art (optional) Computer classes Grades RR - 12 Foundation Phase Aims and objectives of teaching in the Foundation Phase. The Foundation Phase (Grade R- 3) spans the child's first few years of formal schooling. Vital skills, knowledge, attitudes and values are established during these years.89 Dap Naude Street, Polokwane Ext 7, Polokwane, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:26 am local time","89 Dap Naude Street, Polokwane Ext 7, Polokwane, South Africa, South Africa"
Eastern Cape,Port Elizabeth,amadeuschool@gmail.com,,,https://saprivateschools.co.za/listing/amadeus-independent-primary-school/,IEB,,Eastern Cape,Instagram,YouTube,7:00 am - 3:00 pm,"At Amadeus Independent School, we provide a balanced education experience in a conducive and safe environment, catering for the whole child, academically, emotionally and spiritually. In small classes, with individual attention, we nurture human dignity by instilling a sense of pride in work, encouraging self motivation and a desire in each learner to master the three ""R's"": Reading, wRiting and aRithmetic. Together with keen parental involvement, children learn to apply knowledge in every day life. Recommended Schools nearby Insight Learning Centre ? Closest Large Town Port Elizabeth 35 Vitry Ave, Lorraine, Gqeberha, 6070, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:26 am local time","35 Vitry Ave, Lorraine, Gqeberha, 6070, South Africa"
Mpumalanga,Middelburg,info@middelburgpreparatory.co.za,,,https://saprivateschools.co.za/listing/highlands-private-pre-school/,CAPS,,Mpumalanga,Facebook,Twitter,7:00 am - 3:00 pm,"Quality Christian Education. Highlands Private School is focussed on providing your child the education that will set them up for success in the future. At the very heart of our approach to education is much more than 'bible education', rather it's about the person and the finished work of Jesus Christ and how this applies to the lives of the children and young adults in the school. The ultimate goal for us as a school is to raise up a future generation of faith-filled Jesus followers and give them the tools and skills necessary to excel in high-school, tertiary education, and in life.  Intentionally smaller class sizes. Our passionate teachers place emphasis on focussed, intentional, and meaningful individual attention with the learners in their class. It is our commitment to maintaining a 24 learner-per-class size that ensures quality teaching time. Our rigorous checks and balances within the school allow potential difficulties in a child's learning process to be quickly identified and swift intervention can take place to ensure that your child can flourish within their class.1 Ametis Crescent, Extention, 18th St, Middelburg, 1055, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:26 am local time","1 Ametis Crescent, Extention, 18th St, Middelburg, 1055, South Africa"
Kwazulu Natal,Greytown,st.davids@xsinet.co.za,,,https://saprivateschools.co.za/listing/st-davids-diocesan-primary-school/,Visual Arts,Geography,Agricultural Management Practices,Dance Studies,Civil Technology,7:00 am - 3:00 pm,"This school's description is currently being updated and will appear within the near future.562, Durban St, Greytown, 3250, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:26 am local time","562, Durban St, Greytown, 3250, South Africa"
Eastern Cape,East London,head.hopeschools@scinc.co.za,,,https://saprivateschools.co.za/listing/hope-primary-schools/,Computer Applications Technology (CAT),Engineering Graphics and Design,Electrical Technology,Life Sciences,Mathematical Literacy,7:00 am - 3:00 pm,"OUR VISION Constrained by the love of Jesus, we want to see the brightest possible future for children who are infected, affected, or orphaned by HIV/AIDS. OUR MISSION To achieve our vision by providing excellent education and holistic care for our children throughout their schooling years. EDUCATION We provide quality education to classes of ~ 20 children by employing trained, compassionate, and committed teachers and support staff. LOVE We provide emotional and spiritual care for every child throughout the school day and in activities beyond the classroom.Hope School, Summerpride, East London, 5247, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:27 am local time","Hope School, Summerpride, East London, 5247, South Africa, South Africa"
Western Cape,West Coast,info@caprischools.co.za,,,https://saprivateschools.co.za/listing/capriccio-private-school-primary/,Coding,Cooking,Dance,School Productions,Information Technology,7:30 am - 5:00 pm,"Capriccio Private School is an arts-powered, Montessori-inspired, familylike learning environment that offers learners a holistic, fun-filled, and creative educational experience.Capriccio! Arts Powered Pre-school was founded by Elbe van der Walt-Webber and Thornley Webber in 2013. Our innovative, holistic approach to education is designed to provide learners with an enriched curriculum, incorporating elements of Montessori, Waldorf, Reggio Emilio and CAPS (the official national curriculum prescribed by the Department of Basic Education) South Africa), against the backdrop of a Christian ethos. Capriccio has been in successful operation for ten years, now also offering primary education up to Grade 3. Our premises at Capriccio Private School boast educational facilities such as a performing arts studio, and outdoor and semi-outdoor education areas, in addition to our classrooms.10a Ascot Rd, Milnerton, Cape Town, 7441, South AfricaMonday7:30 am - 5:00 pmTuesday7:30 am - 5:00 pmWednesday7:30 am - 5:00 pmThursday7:30 am - 5:00 pmFriday7:30 am - 5:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:27 am local time","10a Ascot Rd, Milnerton, Cape Town, 7441, South Africa"
Vredendal,Western Cape,info@nkollege.co.za,,,https://saprivateschools.co.za/listing/nouveau-kollege-primary-school/,Visual Arts,Geography,Agricultural Management Practices,Dance Studies,Civil Technology,7:00 am - 3:00 pm,"This school's description is currently being updated and will appear within the near future.Nouveau Kollege, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:27 am local time","Nouveau Kollege, South Africa, South Africa"
Gauteng,Roodepoort,info@childwise.co.za,,,https://saprivateschools.co.za/listing/child-wise-nursery-pre-school-wilro-park/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Welcome to Child Wise Nursery School We are a dual medium Christian based pre-school that caters for little ones from 1 Month up to Grade R. Child Wise's owner and staff are experienced, qualified individuals with a child first approach. We offer small classes, loving teachers and ample interaction. Child Wise focuses on individual attention for each child with a view to foster physical, social, emotional, intellectual and spiritual development providing a sound foundation for his/her future. We offer delicious and nutritious meals, all in a loving environment with a home away from home atmosphere. Because we value the safety and health of our learners, our staff are required to renew their CPR and First Aid training annually. School gates conveniently open at 06h00 in the morning for the early birds. The official school day will however begin at 08h00. The school closes at 18h00 in the afternoon and at 13h00 for half day learners. See Roodepoort area on map to see other schools nearby.146 Wilde Amandel Ave, Wilro Park, Roodepoort, 1724, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:27 am local time","146 Wilde Amandel Ave, Wilro Park, Roodepoort, 1724, South Africa"
Atlantic Seaboard,Western Cape,info.atlantic@reddam.house,,,https://saprivateschools.co.za/listing/reddam-atlantic-seaboard-high-school/,CAPS,,Atlantic Seaboard,Facebook,Twitter,7:00 am - 3:00 pm,"The school is situated on the slopes of Signal Hill, in the heart of the vibrant Atlantic Seaboard with a majestic view of the Cape Town Stadium, the Atlantic Ocean and Robben Island. On the edge of the Cape Town city bowl the historic Reddam House clock tower overlooks the intimate private school grounds. The Secondary School resides in the majestic heritage building while the Early Learning and Preparatory Schools are accommodated in the more modern building, which has been newly refurbished and extended. The canteen is managed by local health food chain Kauai. Reddam House Atlantic Seaboard, Cavalcade Road, Green Point, Cape Town, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:27 am local time","Reddam House Atlantic Seaboard, Cavalcade Road, Green Point, Cape Town, South Africa, South Africa"
Kwazulu Natal,Pietermaritzburg,admissions@epworth.co.za,,,https://saprivateschools.co.za/listing/epworth-preparatory-pre-school-for-boys-and-girls/,CAPS,,Kwazulu Natal,Facebook,Twitter,7:00 am - 3:00 pm,"Epworth's Preparatory school caters for boys and girls from Grade RRR to Grade 7 and is the perfect place for young people to begin their educational journey. It is located in Pietermaritzburg, KwaZulu-Natal on a picturesque 15-hectare park-like campus with an enviable range of facilities. It has a distinct Methodist ethos and celebrates over 118 years of education excellence. The friendly and welcoming environment promotes a strong sense of community. Classes are small, with between 15 to 24 pupils, allowing for individual attention. There are two classes per grade. ? Epworth promotes a balanced education programme which is designed to encourage critical thinking, problem-solving and creativity. Pupils are encouraged to become independent thinkers as this builds self-confidence and a sense of responsibility. Activities beyond the classroom, such as sport, music, art and community outreach, feature prominently in the life of every Epworth pupil. Epworth School, creating extraordinary pupils since 1898. ? See Pietermaritzburg area on map to see other schools nearby.95 Golf Rd, Scottsville, Pietermaritzburg, 3201, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:27 am local time","95 Golf Rd, Scottsville, Pietermaritzburg, 3201, South Africa"
