Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Gauteng,Randburg,info@sparkschools.co.za,,,https://saprivateschools.co.za/listing/spark-cresta-primary-school/,IEB,,Gauteng,Facebook,Twitter,7:00 am - 3:00 pm,"A SPARK Cresta parent shared, ""What stands out for us about SPARK is the teacher involvement and commitment to our precious children. The teachers are focused on the learners, and they go above and beyond what is expected of them. The experience has been absolutely amazing from the beginning. We have been welcomed with open arms and truly feel part of the SPARK family."" See Randburg Schools 165 Republic Rd, Fontainebleau, Randburg, 2032, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","165 Republic Rd, Fontainebleau, Randburg, 2032, South Africa"
Eastern Cape,Mthatha,h2primary@telkomsa.net,,,https://saprivateschools.co.za/listing/h2-primary-school/,Music,African Languages,Physical Sciences,Economics,Visual Arts,7:00 am - 3:00 pm,"Grade - R to Grade 7 ? H2 primary school is an IEB school since the inception of this year, 2016. ""Strive for Success"" ?Ukhozi St, Southernwood, Mthatha, 5100, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","Ukhozi St, Southernwood, Mthatha, 5100, South Africa"
Gauteng,Jhb East,justin@taalct.co.za,,,https://saprivateschools.co.za/listing/taal-net-kempton-park-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Study the Taal-Net way is the flexible, accessible way to brush up on your skills, advance your career and realize your dreams. Taal-Net International makes it easier for you. You will also have access to individual attention from qualified tutors and other support staff. aal-Net is a group of schools that offer a world class learning environment for Primary, High school, Matric classes, Computer Courses, Business Courses and IT consultancy and outsourcing services. We are registered for both Primary and High Schools with the Department of Basic Education and Higher Education and Training respectively. ? See Kempton Park area on map to see other schools nearby.51 Maxwell St, Kempton Park, 1620, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","51 Maxwell St, Kempton Park, 1620, South Africa"
Kwazulu Natal,Pinetown,charltonhs@mweb.co.za,,,https://saprivateschools.co.za/listing/charlton-scholars-primary-school/,Visual Arts,Geography,Agricultural Management Practices,Dance Studies,Civil Technology,7:00 am - 3:00 pm,"Charlton Scholars is a registered Independent, co-educational, Christian-based school. We have a well-balanced academic and outdoor programme specifically designed to support and accommodate children who present with specific barriers to learning. We promote self-worth, responsibility and a good work ethic, which in turn helps to develop the life skills needed in a functioning society. Given that remedial education is adapted to the personal needs of each individual learner, places are limited in all Specialised Schools. Charlton Scholars recognises the importance of correct diagnosis and placement within this environment, and aims to place learners who would benefit from such placement.30 Marievale Dr, Zamokhuhe, Kloof, 3610, South Africa30 Marievale Dr, Zamokhuhe, Kloof, 3610, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","30 Marievale Dr, Zamokhuhe, Kloof, 3610, South Africa"
Gauteng,Pretoria East,info@littlepeoplesplace.co.za,,,https://saprivateschools.co.za/listing/little-peoples-place-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Glen Play Centre & Pre-Primary School, Garsfontein Admissions enquiries here Little People's Place is the place where every child will be treated with respect and love. Where your child will be offered the opportunity to develop as an individual while be given security, freedom and sensitive guidance in a peaceful and safe environment. We are a Christian based centre and it is our mission to assist your child while growing up, to become the person God intended him/her to be. At Little People's Place, your child's individual needs will be met by qualified, experienced staff, while following the Montessori philosophy. With us, your child will have the opportunity to work with quality Montessori materials. We offer a big variety of equipment to satisfy your child's individual interests. Through play, your child will be able to develop in all the different learning areas while enjoying childhood.Little People""s Place Montessori Centre, Blouhaak Road, Moreleta Park, Pretoria, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","Little People""s Place Montessori Centre, Blouhaak Road, Moreleta Park, Pretoria, South Africa, South Africa"
Bloemfontein,Free State,sms@stms.co.za,,,https://saprivateschools.co.za/listing/st-michaels-pre-school-for-girls-bloemfontein/,CAPS,,Bloemfontein,Facebook,Twitter,7:00 am - 3:00 pm,"In this small school, we want to make sure that investing in our learners becomes the big thing. This is the reason why we want each learner to feel like the only learner. This has many advantages- like being part of a small class where individuality and potential are nurtured and developed. St Michael's has maintained a 100% matric pass rate for the past 34 years The school has an Anglican tradition, with its own chapel, central to the life of the school. Assemblies take place there each day of the week, while on Sunday there is a worship service. St Michael's offers its pupils a firm foundation based on the enduring truths of the Gospel of Jesus. St Michael's aims at a school society that lives out its ethos of commitment. The Carers' Club and the Chapel Servers' Guild are practical examples of this commitment that aim to produce caring adults who are more ready to serve than to be served and who have a commitment to improving their communities. See Bloemfontein Schools If you have specific interest in this school111 Klerck Ln, Brandwag, Bloemfontein, 9301, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","111 Klerck Ln, Brandwag, Bloemfontein, 9301, South Africa"
Eastern Cape,East London,info@selborne.co.za,,,https://saprivateschools.co.za/listing/selborne-primary-boys-primary-school/,Agricultural Management Practices,History,Agricultural Sciences,Dramatic Arts,Computer Applications Technology (CAT),7:00 am - 3:00 pm,"Welcome to Selborne Primary where the differences between individuals are recognized and each boy is celebrated for who they are. Teachers are focused to encourage each young boy to strive to be the very best he can be. Selborne is a single gender, traditional boys school with a history dating back to 1872. Through the many years of it's existence Selborne has striven to provide a nurturing environment where mind, body and soul are allowed to develop. Preparing young gentlemen for the rigors of life.Crewe Rd, Selborne, East London, 5201, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","Crewe Rd, Selborne, East London, 5201, South Africa"
Gauteng,Centurion,opti-baby-centurion@saprivateschools.co.za,,,https://saprivateschools.co.za/listing/opti-baby-kids-centurion-pre-school/,IEB,,Gauteng,Facebook,Twitter,7:00 am - 3:00 pm,"At Opti-Baby & Kids we create a place of wellbeing and joy - to bring parents like you the enormous comfort that comes with knowing your little one is cared for and thriving. These are our philosophies and values that shape Opti-Baby & Kids experiences and set us apart from other day-care centres. Developing 21st century children with the skills to cope in an ever changing world. To offer a premium, national infant and ECD learning experience through: Dedicated staff who applyÂ inspired effortsÂ to grow young minds and bodies; Parental partnership to foster anÂ extended-family environmentÂ for your child; and AÂ best-in-classÂ curriculum Our Core Values - The WHY concept: Safety and Security Caring, loving and nurturing Innovation Learning through fun and play Continuous development Educationally relevant Professionalism A partner in parenting See Centurion area on map to see other schools nearby.Opti-Baby & Kids Highveld, Metropolitan Street, Highveld, Centurion, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","Opti-Baby & Kids Highveld, Metropolitan Street, Highveld, Centurion, South Africa, South Africa"
Elandsheuwel,North West,Louiseolivato@gmail.com,,,https://saprivateschools.co.za/listing/maple-tree-private-primary-school/,Visual Arts,Geography,Agricultural Management Practices,Dance Studies,Civil Technology,7:00 am - 3:00 pm,"We are an exclusive independent multi-grade school designed with the express purpose of enhancing genius and maximizing potential in young creative learners. Maple Tree Private School, Klerksdorp, North West Province is to host an open day shortly. New premises and preparations under way for new school building. Placement and registration for 2015 now open - Grade RRR - Grade 7 - An elitist environment and exclusive education where happy kids spend their days learning and having fun. See Klerksdorp area on map to see other schools nearby.882 Chris Hani Rd, Elandsheuwel, Klerksdorp, 2571, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","882 Chris Hani Rd, Elandsheuwel, Klerksdorp, 2571, South Africa"
Amanzimtoti,Kwazulu Natal,noahsarkpre@gmail.com,,,https://saprivateschools.co.za/listing/noahs-ark-pre-pre-school/,CAPS,,Amanzimtoti,Grade RR,Grade R,7:00 am - 3:00 pm,"Noah's Ark Pre-school is an independent Christian based school catering for ages 2-3, 3-4, 4-5 and 5-6 (or Grade R). It is located in Amanzimtoti, South Africa. We are an independent Education Department registered Christian based Pre-School, catering for children 3 months to 6 years. (Baby Centre, Daycare, Registered Gr R (Emis No. 445850). We believe that children are a gift from God (psalm 127:3) We know that whatever is taught to a child in the first few years of his or her life will become the foundation on which he or she will build the rest of his or her life. As an education centre or preschoolers we believe we have an excellent platform to sow God's gospel into the young lives.Noah""s Ark Pre-School & Day Care Centre Amanzimtoti, Bernadotte Street, Durban, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:21 am local time","Noah""s Ark Pre-School & Day Care Centre Amanzimtoti, Bernadotte Street, Durban, South Africa, South Africa"
