Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Mpumalanga,White River,lynette@flamboyantschool.co.za,,,https://saprivateschools.co.za/listing/flamboyant-pre-school/,CAPS,,Mpumalanga,Facebook,Twitter,7:00 am - 3:00 pm,"Flamboyant is an independent school which aims to be the centre of remedial education in Mpumalanga, offering a highly specialised service. At Flamboyant we aim to assist pupils to realise their full potential in a well structured, caring environment. We aspire to overcome the barriers of learning difficulties, enabling each individual child to become a productive member of society.Â 26 Tom Lawrence Street, White River, 1240, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","26 Tom Lawrence Street, White River, 1240, South Africa"
Eastern Cape,,info@forestridge.co.za,,,https://saprivateschools.co.za/listing/forest-ridge-private-pre-school/,IEB,,Eastern Cape,Instagram,YouTube,7:00 am - 3:00 pm,"Barkley East make an enquiry We are a collective of individuals who recognised a need for good quality education and have decided to take action. We understand that well balanced, progressive and high quality education plays a vital role in a child's development and as such have committed ourselves to the highest standards. We believe that we can provide a solution that will give the students of Forest Ridge Private School an excellent educational foundation and the strength of character to take on an ever changing world. We believe that a good school, like a good family is one of the key building blocks of a resilient society, building bridges between individuals, fostering friendship and community. We believe in diversity of cultures and the celebration of each. We believe in the redemptive power of Jesus and His message. 0 Brownlee St, Barkly East, 9786, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","0 Brownlee St, Barkly East, 9786, South Africa"
Western Cape,Blouberg,info@hopscotchpreschool.co.za,,,https://saprivateschools.co.za/listing/hopscotch-pre-school/,CAPS,,Western Cape,Grade RR,Grade R,7:00 am - 3:00 pm,"Set in a beautiful homely environment, Hopscotch Preschool's aim is to offer exceptional care and education for your little ones. Staffed by a dedicated team of qualified teachers and carers, you can rest assured that your child's well being and holistic development is our top priority. We understand that your children are the most impressionable at the early stages of their lives. With this in mind, we aim to develop your child into an independent, confident, kind and happy individual. Hopscotch Preschool provides the safety and security you would want for your child, along with a clean and well maintained environment. 88 Briza Rd, Table View, Cape Town, 7441, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","88 Briza Rd, Table View, Cape Town, 7441, South Africa"
Kwazulu Natal,Wartburg,school@wartburg.co.za,,,https://saprivateschools.co.za/listing/wartburg-kirchdorf-pre-school/,CAPS,,Kwazulu Natal,Facebook,Twitter,7:00 am - 3:00 pm,"Pre-Primary Schools in Wartburg Primary Schools in Wartburg High Schools in Wartburg Wartburg Kirchdorf School Wartburg Kirchdorf School Wartburg Kirchdorf School.9 Fountain Hill Rd, Wartburg, 3233, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","9 Fountain Hill Rd, Wartburg, 3233, South Africa"
Gauteng,Pretoria East,admin@typa.co.za,,,https://saprivateschools.co.za/listing/the-yard-prep-academy-primary-school/,Music,African Languages,Physical Sciences,Economics,Visual Arts,7:00 am - 3:00 pm,"The Yard Prep Academy Vision - Our vision is to develop young people with a solid foundation to go into the world as holistic and unique individuals. Mission - To create a safe, caring, enriching environment and where Christian values and discipline in our children and support of our parents are encouraged. See Lynnwood Schools 93 Hibiscus St, Lynnwood Ridge, Pretoria, 0081, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","93 Hibiscus St, Lynnwood Ridge, Pretoria, 0081, South Africa"
Gauteng,Sandton,marketing@redhill.co.za,,,https://saprivateschools.co.za/listing/redhill-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Redhill School is an independent, co-educational, multi-faith school situated in Morningside, Johannesburg. Founded on a rich 108-year history and on the traditional values of academic excellence and diversity. Redhill has been and continues to be a leader amongst IEB schools in South Africa. We are proud to be recognised as a school that embraces the unique needs of pupils through a family-centred approach which aims to foster strong relationships between teachers, pupils and parents alike. This school/family partnership ensures positive educational and social outcomes for all pupils and contributes to the development of a warm and caring school community. Redhill is a combined school consisting of three phases that operate in close cooperation with one another to deliver a consistent learning environment that is in alignment with our core mission. The synergy that has been created between each school allows pupils to transition through each stage of the learning cycle easily and enables continuous improvement at all levels. ? See Morningside area on map to see other schools nearby.Redhill School, Summit Road, Morningside, Sandton, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","Redhill School, Summit Road, Morningside, Sandton, South Africa, South Africa"
Gauteng,Benoni,leighton@ashburycollege.co.za,,,https://saprivateschools.co.za/listing/ashbury-private-high-school/,CAPS,,Gauteng,Facebook,Twitter,7:00 am - 3:00 pm,"We are a Private School on the East Rand catering for pupils from pre-grade R to Grade 12. Ashbury Private School is a non-subsidised independent school registered with the Gauteng Department of Education and accredited by UMALUSI (17 SCHO1 00327). Ashbury was started in 1994 at its current location in Fairleads Benoni as a Combined School, educating students from grade 000 to grade 12. ? Teamwork, Self-discipline, Commitment, Tolerance, Active participation, Achievement, Communication, Leadership and Involvement. We provide holistic education, based on sound norms and values in a caring and nurturing environment, where students are encouraged to reach their full potential in the classroom, on the sports field and in cultural activities. ? See Benoni area on map to see other schools nearby. 69 Von Broemsen Rd, Fairleads, Benoni, 1512, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","69 Von Broemsen Rd, Fairleads, Benoni, 1512, South Africa"
Free State,Bloemfontein,info@igrownurseryschool.co.za,,,https://saprivateschools.co.za/listing/igrow-nursery-pre-school/,CAPS,,Free State,Facebook,Twitter,7:00 am - 3:00 pm,"At iGrow we embrace childhood as a magical time! We believe in the development of happy and healthy children who are confident in themselves and their abilities. At iGrow we strive to foster an environment where every child can reach their full potential at their own pace. Our aim is to cultivate a community of learners who will develop a lifelong love for learning. iGrow is a Reggio Emilia and Montessori inspired preschool that uses a blend of curricula and programs geared toward school readiness as well as providing enriching and authentic experiences for your child. More about us We accommodate half day & full day care Our operating hours are: 07h00 - 17h00 We accept children aged between 2 and 5 years' old (up to Gr 00) We offer a beautiful environment with superior infrastructure and top quality materials We take the highest precautions to ensure our facilities are safe and hygienic Qualified passionate dedicated staff We are a dual language school: English and Afrikaans See Bloemfontein area on map to see other schools nearby.162 Waverley Rd, Dan Pienaar, Bloemfontein, 9301, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","162 Waverley Rd, Dan Pienaar, Bloemfontein, 9301, South Africa, South Africa"
Western Cape,Mossel Bay,admin@kidskingdommb.co.za,,,https://saprivateschools.co.za/listing/kids-kingdom-mossel-bay-pre-school/,CAPS,,Western Cape,Facebook,Twitter,7:00 am - 3:00 pm,"Private Pre & Primary school with excellent academic standards, comprehensive sports development program, top notch security, nutritional meals, advanced, enhanced CAPS curriculum with international components. Kids Kingdom Creche & Pre-School, 17th Avenue, Mossel Bay Central, Mossel Bay, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","Kids Kingdom Creche & Pre-School, 17th Avenue, Mossel Bay Central, Mossel Bay, South Africa, South Africa"
Gauteng,West Rand,shamrockschool62@gmail.com,,,https://saprivateschools.co.za/listing/shamrock-christian-primary-school/,English,Life Sciences,Mathematical Literacy,Physical Sciences,Afrikaans,7:00 am - 3:00 pm,"Shamrock Christian School Plot 21 Second avenue Randfontein South , South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:55 am local time","Plot 21 Second avenue Randfontein South , South Africa"
