Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Western Cape,Hermanus,hermacademy@whalemail.co.za,,,https://saprivateschools.co.za/listing/hermanus-christian-academy-pre-school/,CAPS,,Western Cape,Facebook,Twitter,7:00 am - 3:00 pm,"Hermanus Christian Academy is a co-ed., primary school from grade 0 to grade 7. We are located in the suburb of sandbaai in hermanus. We use the accelerated christian education curriculum which, inter alia, teaches the pupil: to set goals, work at their own pace, be responsible and confident as they face the future. We are training children to represent Jesus Christ in their homes, schools and lives. For school fees or for other admissions information, please contact us below:1823 Bergsig St, Sandbaai, 7200, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","1823 Bergsig St, Sandbaai, 7200, South Africa"
Kwazulu Natal,Pietermaritzburg,admin@maritzburgprep.co.za,,,https://saprivateschools.co.za/listing/maritzburg-preparatory-pre-school/,CAPS,,Kwazulu Natal,Facebook,Twitter,7:00 am - 3:00 pm,"This school started in 1989 on NCF Church campus. A group of intrepid church members felt that they needed to start a pre-school to serve the wider community of Pietermaritzburg. NCF Church embraced the idea of formal education on its land and endeavoured to assist. After 10 years of running a pre-school it was decided by Mrs W Fath (the first principal) to open a primary school. Since the first Grade 1 class of 1999 the school has experienced much positive growth. Mr B Mouton became the second principal in 2004. With a growing school and adjacent church it was decided to focus mainly on pre-school and junior primary from 2006. Since 2006 the focus of this school was to grow qualitatively and partner with neighbouring schools. Over the years the school added classrooms, sports fields and a swimming pool to its facilities. In June 2014 the school changed its name and badge, becoming Maritzburg Preparatory School. The school focuses on a qualitative approach to its foundation phase, and aims to be known for its love for children and its dedication as a team (staff, learners and parents) to giving the best all-round early education.Maritzburg Preparatory School, Alexandra Road, Westgate, Pietermaritzburg, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","Maritzburg Preparatory School, Alexandra Road, Westgate, Pietermaritzburg, South Africa, South Africa"
Gauteng,Sandton,info@kildrummyschool.co.za,,,https://saprivateschools.co.za/listing/kildrummy-pre-primary/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Welcome to Kildrummy Pre-Primary and Daycare At Kildrummy, we believe that children should learn through play, be involved, engaged and most importantly, do so in a safe, clean and nurturing environment. We offer an integrated curriculum for infants and young children from ages 3 months, to 6 years. Our mission is to create a happy, motivating and nurturing environment structured to encourage ""Learning through play"". Well qualified staff aim to ensure that development of the whole child - cognitively, physically, emotionally and socially - is implemented. Our vision is to ensure that children are empowered with life skills at an early age in order to become confident and successful in their adult lives. We are located in Paulshof, in a boomed area which provides the essential security for a safe educational environment, and we can accommodate children from all surrounding areas: Paulshof, Bryanston, Sunninghill, Lonehill, Petervale, Rivonia and Fourways.Kildrummy Pre Primary, Komari Avenue, Paulshof, Sandton, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","Kildrummy Pre Primary, Komari Avenue, Paulshof, Sandton, South Africa, South Africa"
Gauteng,Pretoria East,secretary@stalbanscollege.com,,,https://saprivateschools.co.za/listing/st-albans-college/,CAPS,,Gauteng,Facebook,Twitter,7:00 am - 3:00 pm,"Boys School St Alban's College is a young, vibrant Anglican boys' school, with Grades 8 to 12. It came into existence on 1 February 1963 with a total of 37 boys and a complement of 3 masters. We now number over 560 boys and over 60 teachers, plus an array of support staff. From its very inception it has been a school that loves a challenge. The founder-Headmaster, Anton Murray, was a South African cricketer who sought to maintain the best traditions of liberal education. So an emphasis on well-rounded development prevails, and games such as cricket, rugby and hockey have always figured prominently in our history. Our history of embracing diversity and making a difference in the broader community is also well established. Approaching our 50th anniversary in 2013, St Alban's College is established and secure but never complacent . See Lynnwood area on map to see other schools nearby.110 Clearwater Rd, Lynnwood Glen, Pretoria, 0081, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","110 Clearwater Rd, Lynnwood Glen, Pretoria, 0081, South Africa"
Eastern Cape,Uitenhage,caledonprep@gmail.com,,,https://saprivateschools.co.za/listing/caledon-preparatory-pre-school/,CAPS,,Eastern Cape,Facebook,Twitter,7:00 am - 3:00 pm,"This school's description is currently being updated and will appear within the near future.7 High St, College Hill, Kariega, 6229, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","7 High St, College Hill, Kariega, 6229, South Africa"
Gauteng,Roodepoort,info@childwise.co.za,,,https://saprivateschools.co.za/listing/child-wise-nursery-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Welcome to Child Wise Nursery School We are a dual medium Christian based pre-school that caters for little ones from 1 Month up to Grade R. Child Wise's owner and staff are experienced, qualified individuals with a child first approach. We offer small classes, loving teachers and ample interaction. Child Wise focuses on individual attention for each child with a view to foster physical, social, emotional, intellectual and spiritual development providing a sound foundation for his/her future. We offer delicious and nutritious meals, all in a loving environment with a home away from home atmosphere. Because we value the safety and health of our learners, our staff are required to renew their CPR and First Aid training annually. School gates conveniently open at 06h00 in the morning for the early birds. The official school day will however begin at 08h00. The school closes at 18h00 in the afternoon and at 13h00 for half day learners. See Roodepoort area on map to see other schools nearby.65 Mimosa St, Helderkruin, Roodepoort, 1724, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","65 Mimosa St, Helderkruin, Roodepoort, 1724, South Africa"
Western Cape,West Coast,principal.cst@gmail.com,,,https://saprivateschools.co.za/listing/cape-town-studies-private-high-school/,CAPS,,Western Cape,Facebook,Twitter,7:00 am - 3:00 pm,"We are a Grade 8 to 12 private school in Table View. We were founded in May 2004 after realising a great demand in our immediate community for education that meets the needs of the individual. We have created a secure environment conducive to bringing out the best in our learners through small classes and individual attention where needed. We are the proud recipients of a Dean's Honours Award from the EMS faculty at the University of the Western Cape, in recognition of the outstanding Academic Performance of some of our ex-learners over the recent years. One of our learners was the top student of 2009 and received the International Golden Key Award. We also received awards from the Western Cape Education Department in recognition of our pass rate as well as Academic Excellence.? 12B, 145 Blaauwberg Rd, Table View, Cape Town, 7441, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","12B, 145 Blaauwberg Rd, Table View, Cape Town, 7441, South Africa"
Gauteng,East Rand,admin@dalparkprivate.co.za,,,https://saprivateschools.co.za/listing/dalpark-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Dalpark Private School is an Independent Primary School that caters for learners from Grade R to Grade 7. The school boasts small classes (not exceeding 30 learners) and well-qualified teachers. Dalpark Private is not merely an educational institution; it is a warm, welcoming, comfortable, diversely rich place, which changes ""enough"" into ""more"", ""chaos"" into ""order"", ""confusion"" into ""clarity"", ""strangers"" into ""friends"" and much more. The Educators at this school have a great passion for what they do. They are of a high calibre and are always striving to achieve and improve and educate to the best of their ability. They are led by an extremely capable and actively involved management team whose aim is to create a, successful learning environment that showcases holistic development.Rangeview Rd, Leachville, Brakpan, 1553, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","Rangeview Rd, Leachville, Brakpan, 1553, South Africa"
Gauteng,Kirkney,Admin.kirkney@acudeo.co.za,,,https://saprivateschools.co.za/listing/acudeo-college-kirkney/,CAPS,,Gauteng,Facebook,Twitter,7:00 am - 3:00 pm,"ACUDEO College is founded in the Christian faith and principles. ACUDEO is a composite word with the roots Acumen, the ability to think clearly, make good decisions and exercise sound judgement and Deo, which is Greek for God. The name Acudeo embodies growing one's knowledge and skills in the presence and under the guidance of God I am Emmanuel Ramathavha and I am very excited to be the founding Principal of ACUDEO College Kirkney. My passion is education and I have been involved in the profession for 14 years. I started out as a Physical Science teacher in rural Kwa-Zulu Natal (e-Nkandla) in 2003. As a young teacher the experience in KZN taught me to do more with less and to appreciate the power of education in changing lives and as a tool to develop our country. In 2009, I joined the Gauteng Department of Education at Eqinisweni Secondary in Ivory Park (one of the best performing high schools in the township). I served the school as a Physical Science educator and later Head of Department for Sciences. The experience presented me with an opportunity to join Mindset (DSTV channel 319) as a Physical Science tutor. Simonsberg Ave, Kirkney, Pretoria, 0182, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","Simonsberg Ave, Kirkney, Pretoria, 0182, South Africa"
Nelspruit,Mbombela,admissions@penryn.co.za,,,https://saprivateschools.co.za/listing/penryn-pre-school/,CAPS,,Nelspruit,Grade RR,Grade R,7:00 am - 3:00 pm,"Penryn is situated in a stunning bushveld setting on the Boschrand Hills overlooking Nelspruit and the Crocodile River Valley. The College started as a twinning project with St Stithians College in Randburg with a view to establishing an institution in the Lowveld that would provide quality, holistic education in a Christian setting, and would partner schools in rural communities surrounding Nelspruit. Accordingly from a start in 1991 with 7 scholars in Gr 1, the College has grown to 1 000 co-educational scholars in 2010, and a community initiative called Penreach now partners over 2 000 teachers from partner schools each year in a rich and meaningful programme that continues to upgrade education in surrounding communities. ? See Nelspruit / Mbombela area on map to see other schools nearby.Penryn, Mbombela, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 9:47 am local time","Penryn, Mbombela, South Africa, South Africa"
